time,index,action,floors_before,floors_after,landuse_before,landuse_after,condition_before,condition_after,added_floors,demo_flag
3,9,NoChange,7,7,1,1,0.9857241409193968,0.9896559709914,0,
4,9,NoChange,7,7,1,1,0.9896559709914,0.9953232015610858,0,
5,9,NoChange,7,7,1,1,0.9953232015610858,0.9950566297941724,0,
6,9,NoChange,7,7,1,1,0.9950566297941724,0.9894106477624559,0,
7,9,AddFloors,7,9,1,1,0.9894106477624559,0.9548325997761986,2,
8,9,AddFloors,9,11,1,1,0.9548325997761986,0.919600484947288,2,
9,9,NoChange,11,11,1,1,0.919600484947288,0.9107380765418617,0,
10,9,NoChange,11,11,1,1,0.9107380765418617,0.917764927448744,0,
1,10,AddFloors,2,3,1,1,0.8,0.7867521255360409,1,
2,10,AddFloors,3,5,1,1,0.7867521255360409,0.7492142790139271,2,
3,10,NoChange,5,5,1,1,0.7492142790139271,0.7475987773206446,0,
4,10,NoChange,5,5,1,1,0.7475987773206446,0.7480544316312838,0,
5,10,NoChange,5,5,1,1,0.7480544316312838,0.7421396156197545,0,
6,10,NoChange,5,5,1,1,0.7421396156197545,0.7369133346720714,0,
7,10,NoChange,5,5,1,1,0.7369133346720714,0.7403471391312708,0,
8,10,NoChange,5,5,1,1,0.7403471391312708,0.7366706830567079,0,
9,10,NoChange,5,5,1,1,0.7366706830567079,0.728121545346571,0,
10,10,NoChange,5,5,1,1,0.728121545346571,0.7380906341636598,0,
1,11,NoChange,4,4,1,1,0.9,0.8914652144219927,0,
2,11,NoChange,4,4,1,1,0.8914652144219927,0.8867692227170006,0,
3,11,NoChange,4,4,1,1,0.8867692227170006,0.8943865061907295,0,
4,11,NoChange,4,4,1,1,0.8943865061907295,0.8917770479655072,0,
5,11,NoChange,4,4,1,1,0.8917770479655072,0.8984519470583033,0,
6,11,NoChange,4,4,1,1,0.8984519470583033,0.9006855023728223,0,
7,11,NoChange,4,4,1,1,0.9006855023728223,0.9037650287270369,0,
8,11,AddFloors,4,6,1,1,0.9037650287270369,0.8667588162490366,2,
9,11,NoChange,6,6,1,1,0.8667588162490366,0.859444638536904,0,
10,11,AddFloors,6,7,1,1,0.859444638536904,0.8468688053767139,1,
1,12,NoChange,4,4,1,1,1.0,0.9968576057558651,0,
2,12,NoChange,4,4,1,1,0.9968576057558651,1.0,0,
3,12,NoChange,4,4,1,1,1.0,0.9950224250413979,0,
4,12,NoChange,4,4,1,1,0.9950224250413979,0.9860384029146485,0,
5,12,NoChange,4,4,1,1,0.9860384029146485,0.9926253647020928,0,
6,12,AddFloors,4,5,1,1,0.9926253647020928,0.980336556932289,1,
7,12,NoChange,5,5,1,1,0.980336556932289,0.9851611750992477,0,
8,12,NoChange,5,5,1,1,0.9851611750992477,0.9837149134788613,0,
9,12,AddFloors,5,6,1,1,0.9837149134788613,0.9731654228693277,1,
10,12,NoChange,6,6,1,1,0.9731654228693277,0.9638859856305443,0,
1,13,NoChange,5,5,1,1,0.9,0.9010505019349,0,
2,13,NoChange,5,5,1,1,0.9010505019349,0.8918870790982771,0,
3,13,NoChange,5,5,1,1,0.8918870790982771,0.9005488393086902,0,
4,13,NoChange,5,5,1,1,0.9005488393086902,0.8913467368709146,0,
5,13,NoChange,5,5,1,1,0.8913467368709146,0.8949880706371262,0,
6,13,NoChange,5,5,1,1,0.8949880706371262,0.8920616433294185,0,
7,13,NoChange,5,5,1,1,0.8920616433294185,0.8995558978002404,0,
8,13,NoChange,5,5,1,1,0.8995558978002404,0.9045454500231112,0,
9,13,NoChange,5,5,1,1,0.9045454500231112,0.8992801966676983,0,
10,13,NoChange,5,5,1,1,0.8992801966676983,0.9052779372658363,0,
1,14,NoChange,2,2,1,1,0.8,0.798245888207076,0,
2,14,NoChange,2,2,1,1,0.798245888207076,0.8067356341119069,0,
3,14,NoChange,2,2,1,1,0.8067356341119069,0.8049698974429379,0,
4,14,NoChange,2,2,1,1,0.8049698974429379,0.8096710482194954,0,
5,14,NoChange,2,2,1,1,0.8096710482194954,0.80285500507911,0,
6,14,NoChange,2,2,1,1,0.80285500507911,0.8005058395310487,0,
7,14,AddFloors,2,3,1,1,0.8005058395310487,0.7827301767065054,1,
8,14,NoChange,3,3,1,1,0.7827301767065054,0.7788339940532774,0,
9,14,NoChange,3,3,1,1,0.7788339940532774,0.7733859038014328,0,
10,14,AddFloors,3,4,1,1,0.7733859038014328,0.7573705635870807,1,
1,15,AddFloors,2,3,1,1,0.8,0.7835114612908276,1,
2,15,NoChange,3,3,1,1,0.7835114612908276,0.7903846845562692,0,
3,15,NoChange,3,3,1,1,0.7903846845562692,0.7809366952586619,0,
4,15,NoChange,3,3,1,1,0.7809366952586619,0.7761609991864662,0,
5,15,NoChange,3,3,1,1,0.7761609991864662,0.7858320106441279,0,
6,15,AddFloors,3,5,1,1,0.7858320106441279,0.7501776482297743,2,
7,15,NoChange,5,5,1,1,0.7501776482297743,0.7523018252958972,0,
8,15,NoChange,5,5,1,1,0.7523018252958972,0.7500057339627917,0,
9,15,NoChange,5,5,1,1,0.7500057339627917,0.7451001840855633,0,
10,15,NoChange,5,5,1,1,0.7451001840855633,0.7351340096499359,0,
1,16,NoChange,1,1,1,1,0.8,0.8007690399418559,0,
2,16,NoChange,1,1,1,1,0.8007690399418559,0.8056080414986454,0,
3,16,NoChange,1,1,1,1,0.8056080414986454,0.8028924709342706,0,
4,16,AddFloors,1,3,1,1,0.8028924709342706,0.772100179496451,2,
5,16,NoChange,3,3,1,1,0.772100179496451,0.7645926858097384,0,
6,16,NoChange,3,3,1,1,0.7645926858097384,0.7647351358904437,0,
7,16,NoChange,3,3,1,1,0.7647351358904437,0.7612587939875918,0,
8,16,NoChange,3,3,1,1,0.7612587939875918,0.7623470435409276,0,
9,16,NoChange,3,3,1,1,0.7623470435409276,0.7656456322251831,0,
10,16,NoChange,3,3,1,1,0.7656456322251831,0.7706083234283609,0,
1,17,NoChange,4,4,1,1,0.9,0.9013821050973162,0,
2,17,NoChange,4,4,1,1,0.9013821050973162,0.9080566084833973,0,
3,17,NoChange,4,4,1,1,0.9080566084833973,0.9022602621810502,0,
4,17,NoChange,4,4,1,1,0.9022602621810502,0.9043934935906454,0,
5,17,NoChange,4,4,1,1,0.9043934935906454,0.9032292139274044,0,
6,17,NoChange,4,4,1,1,0.9032292139274044,0.9034526938648961,0,
7,17,NoChange,4,4,1,1,0.9034526938648961,0.9126493339385569,0,
8,17,NoChange,4,4,1,1,0.9126493339385569,0.9158263488385253,0,
9,17,NoChange,4,4,1,1,0.9158263488385253,0.9191034255646253,0,
10,17,NoChange,4,4,1,1,0.9191034255646253,0.9109711695661366,0,
1,18,NoChange,2,2,1,1,0.8,0.7946973719705337,0,
2,18,NoChange,2,2,1,1,0.7946973719705337,0.800828629862059,0,
3,18,AddFloors,2,3,1,1,0.800828629862059,0.7832770553028425,1,
4,18,NoChange,3,3,1,1,0.7832770553028425,0.7747336198865339,0,
5,18,NoChange,3,3,1,1,0.7747336198865339,0.7773289275012881,0,
6,18,NoChange,3,3,1,1,0.7773289275012881,0.7812560125110982,0,
7,18,NoChange,3,3,1,1,0.7812560125110982,0.776135701302667,0,
8,18,NoChange,3,3,1,1,0.776135701302667,0.7662465976654276,0,
9,18,NoChange,3,3,1,1,0.7662465976654276,0.7716475214369081,0,
10,18,AddFloors,3,4,1,1,0.7716475214369081,0.7538359328050313,1,
1,19,NoChange,2,2,1,1,0.8,0.799290997691485,0,
2,19,NoChange,2,2,1,1,0.799290997691485,0.8076403979805938,0,
3,19,AddFloors,2,3,1,1,0.8076403979805938,0.7956545639978164,1,
4,19,NoChange,3,3,1,1,0.7956545639978164,0.7975636103672048,0,
5,19,NoChange,3,3,1,1,0.7975636103672048,0.8053921288834135,0,
6,19,NoChange,3,3,1,1,0.8053921288834135,0.8097776081089328,0,
7,19,NoChange,3,3,1,1,0.8097776081089328,0.8163889915033612,0,
8,19,NoChange,3,3,1,1,0.8163889915033612,0.8243331535680264,0,
9,19,NoChange,3,3,1,1,0.8243331535680264,0.8238266423044874,0,
10,19,NoChange,3,3,1,1,0.8238266423044874,0.8187714370546806,0,
1,20,NoChange,2,2,1,1,0.8,0.8053162736859434,0,
2,20,NoChange,2,2,1,1,0.8053162736859434,0.807851242425579,0,
3,20,NoChange,2,2,1,1,0.807851242425579,0.7994009095028738,0,
4,20,NoChange,2,2,1,1,0.7994009095028738,0.7948352116445175,0,
5,20,NoChange,2,2,1,1,0.7948352116445175,0.7956382560948867,0,
6,20,AddFloors,2,3,1,1,0.7956382560948867,0.7794686090192,1,
7,20,NoChange,3,3,1,1,0.7794686090192,0.7760862368399617,0,
8,20,NoChange,3,3,1,1,0.7760862368399617,0.7673315510516334,0,
9,20,NoChange,3,3,1,1,0.7673315510516334,0.7651210873049722,0,
10,20,NoChange,3,3,1,1,0.7651210873049722,0.7740423279767742,0,
1,21,AddFloors,4,6,1,1,0.9,0.8638038102892771,2,
2,21,NoChange,6,6,1,1,0.8638038102892771,0.8708727693006592,0,
3,21,NoChange,6,6,1,1,0.8708727693006592,0.8692531949532556,0,
4,21,NoChange,6,6,1,1,0.8692531949532556,0.8701758411479323,0,
5,21,NoChange,6,6,1,1,0.8701758411479323,0.8645866150344087,0,
6,21,NoChange,6,6,1,1,0.8645866150344087,0.8633033345553415,0,
7,21,AddFloors,6,7,1,1,0.8633033345553415,0.8499920707615706,1,
8,21,NoChange,7,7,1,1,0.8499920707615706,0.8568021840228217,0,
9,21,NoChange,7,7,1,1,0.8568021840228217,0.8664166235732002,0,
10,21,NoChange,7,7,1,1,0.8664166235732002,0.8745552008249355,0,
1,22,NoChange,4,4,1,1,0.9,0.9032599951367233,0,
2,22,AddFloors,4,5,1,1,0.9032599951367233,0.8846169900090289,1,
3,22,AddFloors,5,6,1,1,0.8846169900090289,0.8678905166784463,1,
4,22,NoChange,6,6,1,1,0.8678905166784463,0.8754833163984842,0,
5,22,NoChange,6,6,1,1,0.8754833163984842,0.8845073987956954,0,
6,22,NoChange,6,6,1,1,0.8845073987956954,0.8912056170939379,0,
7,22,NoChange,6,6,1,1,0.8912056170939379,0.8961861023155949,0,
8,22,AddFloors,6,7,1,1,0.8961861023155949,0.8784283239727924,1,
9,22,AddFloors,7,8,1,1,0.8784283239727924,0.8679244412999523,1,
10,22,NoChange,8,8,1,1,0.8679244412999523,0.8604488607974364,0,
1,23,NoChange,5,5,1,1,0.9,0.9012793916386004,0,
2,23,NoChange,5,5,1,1,0.9012793916386004,0.9052686910635234,0,
3,23,NoChange,5,5,1,1,0.9052686910635234,0.8986244739308794,0,
4,23,NoChange,5,5,1,1,0.8986244739308794,0.9035829869699852,0,
5,23,AddFloors,5,6,1,1,0.9035829869699852,0.893230194700326,1,
6,23,NoChange,6,6,1,1,0.893230194700326,0.8967771404373343,0,
7,23,NoChange,6,6,1,1,0.8967771404373343,0.8947102292676667,0,
8,23,NoChange,6,6,1,1,0.8947102292676667,0.8862301588245279,0,
9,23,NoChange,6,6,1,1,0.8862301588245279,0.8887750067365489,0,
10,23,AddFloors,6,7,1,1,0.8887750067365489,0.8772779391274368,1,
1,24,AddFloors,2,4,1,1,0.8,0.7678263534636102,2,
2,24,NoChange,4,4,1,1,0.7678263534636102,0.7652377709879713,0,
3,24,NoChange,4,4,1,1,0.7652377709879713,0.762062394485197,0,
4,24,NoChange,4,4,1,1,0.762062394485197,0.7685090128469981,0,
5,24,AddFloors,4,5,1,1,0.7685090128469981,0.7548648639080126,1,
6,24,NoChange,5,5,1,1,0.7548648639080126,0.7535746068081661,0,
7,24,NoChange,5,5,1,1,0.7535746068081661,0.7628840814329276,0,
8,24,NoChange,5,5,1,1,0.7628840814329276,0.7690480658090627,0,
9,24,NoChange,5,5,1,1,0.7690480658090627,0.7687180158867266,0,
10,24,NoChange,5,5,1,1,0.7687180158867266,0.7733385401728291,0,
1,25,NoChange,4,4,1,1,1.0,1.0,0,
2,25,NoChange,4,4,1,1,1.0,0.9917332579611134,0,
3,25,NoChange,4,4,1,1,0.9917332579611134,0.9866105267449325,0,
4,25,NoChange,4,4,1,1,0.9866105267449325,0.988817160829543,0,
5,25,NoChange,4,4,1,1,0.988817160829543,0.9793911607849447,0,
6,25,NoChange,4,4,1,1,0.9793911607849447,0.9730279579280985,0,
7,25,NoChange,4,4,1,1,0.9730279579280985,0.9789846050646605,0,
8,25,NoChange,4,4,1,1,0.9789846050646605,0.986591004659825,0,
9,25,NoChange,4,4,1,1,0.986591004659825,0.9821163761749486,0,
10,25,AddFloors,4,5,1,1,0.9821163761749486,0.9629725057945289,1,
1,26,NoChange,4,4,1,1,1.0,1.0,0,
2,26,NoChange,4,4,1,1,1.0,1.0,0,
3,26,NoChange,4,4,1,1,1.0,1.0,0,
4,26,AddFloors,4,5,1,1,1.0,0.9840440112867792,1,
5,26,NoChange,5,5,1,1,0.9840440112867792,0.9814244203,0,
6,26,NoChange,5,5,1,1,0.9814244203,0.9782995681829241,0,
7,26,NoChange,5,5,1,1,0.9782995681829241,0.9793073376380577,0,
8,26,NoChange,5,5,1,1,0.9793073376380577,0.9783822428951212,0,
9,26,NoChange,5,5,1,1,0.9783822428951212,0.9729930037210913,0,
10,26,NoChange,5,5,1,1,0.9729930037210913,0.9693039626012111,0,
1,27,NoChange,2,2,1,1,0.8,0.8090175512078688,0,
2,27,NoChange,2,2,1,1,0.8090175512078688,0.8028483706680797,0,
3,27,NoChange,2,2,1,1,0.8028483706680797,0.7983783632074535,0,
4,27,NoChange,2,2,1,1,0.7983783632074535,0.8035825211149151,0,
5,27,NoChange,2,2,1,1,0.8035825211149151,0.8131927337241653,0,
6,27,NoChange,2,2,1,1,0.8131927337241653,0.8091176629894682,0,
7,27,NoChange,2,2,1,1,0.8091176629894682,0.8051630147650769,0,
8,27,NoChange,2,2,1,1,0.8051630147650769,0.7976946739620365,0,
9,27,AddFloors,2,3,1,1,0.7976946739620365,0.7832282636300226,1,
10,27,AddFloors,3,4,1,1,0.7832282636300226,0.7642541400979002,1,
1,28,NoChange,4,4,1,1,0.9,0.8968141186512059,0,
2,28,NoChange,4,4,1,1,0.8968141186512059,0.8918636864610653,0,
3,28,NoChange,4,4,1,1,0.8918636864610653,0.8841454292755637,0,
4,28,AddFloors,4,5,1,1,0.8841454292755637,0.8648862509781201,1,
5,28,AddFloors,5,6,1,1,0.8648862509781201,0.8529976717408706,1,
6,28,AddFloors,6,7,1,1,0.8529976717408706,0.8341821873629852,1,
7,28,NoChange,7,7,1,1,0.8341821873629852,0.8399970039598537,0,
8,28,NoChange,7,7,1,1,0.8399970039598537,0.840448454662458,0,
9,28,NoChange,7,7,1,1,0.840448454662458,0.8393028747428446,0,
10,28,NoChange,7,7,1,1,0.8393028747428446,0.8491034999521806,0,
1,29,NoChange,4,4,1,1,0.9,0.902420546421443,0,
2,29,NoChange,4,4,1,1,0.902420546421443,0.9072223325311339,0,
3,29,NoChange,4,4,1,1,0.9072223325311339,0.901378090647605,0,
4,29,NoChange,4,4,1,1,0.901378090647605,0.9045866533914457,0,
5,29,NoChange,4,4,1,1,0.9045866533914457,0.8980629243579744,0,
6,29,AddFloors,4,5,1,1,0.8980629243579744,0.8821481000845747,1,
7,29,NoChange,5,5,1,1,0.8821481000845747,0.8728008971921931,0,
8,29,NoChange,5,5,1,1,0.8728008971921931,0.8684552646544389,0,
9,29,NoChange,5,5,1,1,0.8684552646544389,0.8598788598575084,0,
10,29,NoChange,5,5,1,1,0.8598788598575084,0.8551699523706865,0,
1,30,NoChange,2,2,1,1,0.8,0.8017957917841052,0,
2,30,NoChange,2,2,1,1,0.8017957917841052,0.7957521760592345,0,
3,30,AddFloors,2,3,1,1,0.7957521760592345,0.7822285232932593,1,
4,30,NoChange,3,3,1,1,0.7822285232932593,0.7736567200303756,0,
5,30,AddFloors,3,4,1,1,0.7736567200303756,0.7596071604035696,1,
6,30,NoChange,4,4,1,1,0.7596071604035696,0.7583902293770444,0,
7,30,NoChange,4,4,1,1,0.7583902293770444,0.7544720531879398,0,
8,30,NoChange,4,4,1,1,0.7544720531879398,0.749916977050825,0,
9,30,NoChange,4,4,1,1,0.749916977050825,0.748672154322257,0,
10,30,NoChange,4,4,1,1,0.748672154322257,0.756460612108106,0,
1,31,NoChange,4,4,1,1,0.9,0.9020742728189183,0,
2,31,AddFloors,4,5,1,1,0.9020742728189183,0.8916933838408466,1,
3,31,NoChange,5,5,1,1,0.8916933838408466,0.9007091093969737,0,
4,31,NoChange,5,5,1,1,0.9007091093969737,0.9041547410830385,0,
5,31,NoChange,5,5,1,1,0.9041547410830385,0.8949593745459308,0,
6,31,NoChange,5,5,1,1,0.8949593745459308,0.8943693910109635,0,
7,31,NoChange,5,5,1,1,0.8943693910109635,0.9026908467694988,0,
8,31,NoChange,5,5,1,1,0.9026908467694988,0.9043974392750559,0,
9,31,NoChange,5,5,1,1,0.9043974392750559,0.9042319553188761,0,
10,31,AddFloors,5,6,1,1,0.9042319553188761,0.8883154362531762,1,
1,32,AddFloors,2,3,1,1,0.8,0.7832980366357897,1,
2,32,NoChange,3,3,1,1,0.7832980366357897,0.7922019074270539,0,
3,32,NoChange,3,3,1,1,0.7922019074270539,0.7932038396064895,0,
4,32,NoChange,3,3,1,1,0.7932038396064895,0.7894941827498929,0,
5,32,NoChange,3,3,1,1,0.7894941827498929,0.7988978772860644,0,
6,32,NoChange,3,3,1,1,0.7988978772860644,0.7991898023326466,0,
7,32,NoChange,3,3,1,1,0.7991898023326466,0.8023430100623091,0,
8,32,NoChange,3,3,1,1,0.8023430100623091,0.8006079614782956,0,
9,32,NoChange,3,3,1,1,0.8006079614782956,0.7978435486613291,0,
10,32,NoChange,3,3,1,1,0.7978435486613291,0.8003517235042293,0,
1,33,NoChange,5,5,1,1,1.0,0.9940711647670055,0,
2,33,NoChange,5,5,1,1,0.9940711647670055,1.0,0,
3,33,NoChange,5,5,1,1,1.0,1.0,0,
4,33,AddFloors,5,7,1,1,1.0,0.9660887166708196,2,
5,33,NoChange,7,7,1,1,0.9660887166708196,0.967105496810873,0,
6,33,NoChange,7,7,1,1,0.967105496810873,0.9589696808365035,0,
7,33,NoChange,7,7,1,1,0.9589696808365035,0.9672282784061869,0,
8,33,NoChange,7,7,1,1,0.9672282784061869,0.959577601387978,0,
9,33,NoChange,7,7,1,1,0.959577601387978,0.9595451114821218,0,
10,33,NoChange,7,7,1,1,0.9595451114821218,0.9597225517835121,0,
1,34,NoChange,2,2,1,1,0.8,0.8066944789115339,0,
2,34,NoChange,2,2,1,1,0.8066944789115339,0.8015690970330367,0,
3,34,NoChange,2,2,1,1,0.8015690970330367,0.7992408172979797,0,
4,34,NoChange,2,2,1,1,0.7992408172979797,0.7994056351298375,0,
5,34,NoChange,2,2,1,1,0.7994056351298375,0.8066861738184093,0,
6,34,NoChange,2,2,1,1,0.8066861738184093,0.8124862974584716,0,
7,34,NoChange,2,2,1,1,0.8124862974584716,0.8211712653321219,0,
8,34,NoChange,2,2,1,1,0.8211712653321219,0.8275822547958335,0,
9,34,NoChange,2,2,1,1,0.8275822547958335,0.8235533717912689,0,
10,34,NoChange,2,2,1,1,0.8235533717912689,0.8335314184558557,0,
1,35,NoChange,2,2,1,1,0.8,0.7929719083676559,0,
2,35,NoChange,2,2,1,1,0.7929719083676559,0.789874387201516,0,
3,35,NoChange,2,2,1,1,0.789874387201516,0.7907429884606895,0,
4,35,NoChange,2,2,1,1,0.7907429884606895,0.7871785354652702,0,
5,35,NoChange,2,2,1,1,0.7871785354652702,0.7911285040176816,0,
6,35,NoChange,2,2,1,1,0.7911285040176816,0.7857997529388395,0,
7,35,NoChange,2,2,1,1,0.7857997529388395,0.7766726989207856,0,
8,35,NoChange,2,2,1,1,0.7766726989207856,0.7807772565412857,0,
9,35,NoChange,2,2,1,1,0.7807772565412857,0.7784988315911053,0,
10,35,NoChange,2,2,1,1,0.7784988315911053,0.7849137826252964,0,
1,36,NoChange,2,2,1,1,0.8,0.7999065729923285,0,
2,36,AddFloors,2,4,1,1,0.7999065729923285,0.769560108894097,2,
3,36,AddFloors,4,5,1,1,0.769560108894097,0.7505572258715167,1,
4,36,AddFloors,5,6,1,1,0.7505572258715167,0.7346570120689804,1,
5,36,AddFloors,6,7,1,1,0.7346570120689804,0.7224722649817106,1,
6,36,NoChange,7,7,1,1,0.7224722649817106,0.720421931459426,0,
7,36,AddFloors,7,8,1,1,0.720421931459426,0.708945344825085,1,
8,36,NoChange,8,8,1,1,0.708945344825085,0.705278567903753,0,
9,36,NoChange,8,8,1,1,0.705278567903753,0.7104666040904403,0,
10,36,NoChange,8,8,1,1,0.7104666040904403,0.701184586087194,0,
1,37,AddFloors,5,7,1,1,0.9,0.8668439957440591,2,
2,37,NoChange,7,7,1,1,0.8668439957440591,0.8586515823594385,0,
3,37,NoChange,7,7,1,1,0.8586515823594385,0.8638589762193238,0,
